,run,time_mean,time_med,time_min,time_max,time_var,size,pattern,sparsity,algorithm,gflops_mean,gflops_med,gflops_min,gflops_max,gflops_var,rel_error_mean,rel_error_med,rel_error_min,rel_error_max,rel_error_var
0,avg,433.853244,432.4828185,428.109833,465.802582,48.59339319878883,5376,blockrandom,0.7,Dense on GPU Coalescence,716.4204209838588,718.5201434808828,667.1229545739186,725.8595126732349,119.81972863671142,0.0,0.0,0.0,0.0,0.0
1,avg,432.8179432333333,431.055359,426.823669,478.193817,87.04048428568258,5376,blockrandom,0.8,Dense on GPU Coalescence,718.2607351837378,720.8996522175368,649.836078394966,728.046772757581,203.33547633560372,0.0,0.0,0.0,0.0,0.0
2,avg,435.08189096666666,431.7379155,429.057037,462.887085,80.8795600031372,5376,blockrandom,0.4,Dense on GPU Coalescence,714.5112995097842,719.759798267138,671.3248323875789,724.2570752941642,201.3196742037647,0.0,0.0,0.0,0.0,0.0
3,avg,433.29721476666657,432.337311,427.137024,464.465912,40.778795407150426,5376,blockrandom,0.9,Dense on GPU Coalescence,717.3120578423361,718.7619388574634,669.0428441000423,727.5126652378418,100.0441275911029,0.0,0.0,0.0,0.0,0.0
4,avg,433.6532134333333,431.7262725,428.161011,467.561523,49.91378338639291,5376,blockrandom,0.6,Dense on GPU Coalescence,716.7540472009134,719.7792438685915,664.6132743305312,725.7727508308784,121.01018183546798,0.0,0.0,0.0,0.0,0.0
5,avg,436.1143178333333,432.432861,427.924469,489.981934,138.42387643087892,5376,blockrandom,0.5,Dense on GPU Coalescence,712.9954155997972,718.6031076480729,634.2021474448893,726.1739331666963,309.432026852318,0.0,0.0,0.0,0.0,0.0
6,avg,434.0954925666667,431.48492450000003,428.162262,476.763336,77.51813278282518,5376,blockrandom,0.3,Dense on GPU Coalescence,716.1147376990881,720.1818119580137,651.785846955312,725.7706302756781,181.4461331779018,0.0,0.0,0.0,0.0,0.0
7,avg,6.590151433333333,5.27768,5.257376,44.377087,50.93573180545791,1280,blockrandom,0.7,Dense on GPU Coalescence,770.0519786760448,794.7249549117319,94.51508162309077,797.7941847796316,16314.081469175855,0.0,0.0,0.0,0.0,0.0
8,avg,5.276341333333333,5.277696,5.257376,5.295008,7.882902657471235e-05,1280,blockrandom,0.8,Dense on GPU Coalescence,794.928762647007,794.7225455956539,792.1242045337798,797.7941847796316,1.7914584095740569,0.0,0.0,0.0,0.0,0.0
9,avg,5.349854933333334,5.338736000000001,5.2992,5.508096,0.0019345330658574697,1280,blockrandom,0.4,Dense on GPU Coalescence,784.0535795730522,785.6361505865195,761.4798289644915,791.4975845410628,40.00702047777786,0.0,0.0,0.0,0.0,0.0
10,avg,5.279262933333333,5.278207999999999,5.259264,5.314272,0.00018569473647816025,1280,blockrandom,0.9,Dense on GPU Coalescence,794.4917701739495,794.6454629045195,789.2527894695643,797.5077881619937,4.186683929050771,0.0,0.0,0.0,0.0,0.0
11,avg,5.286887466666666,5.281472,5.252384,5.491712,0.0016506576107402234,1280,blockrandom,0.6,Dense on GPU Coalescence,793.3847149682938,794.1543598825269,763.7516315495059,798.5524287637766,34.81140347465309,0.0,0.0,0.0,0.0,0.0
12,avg,5.31504,5.304416,5.280768,5.495808,0.00153087470344828,1280,blockrandom,0.5,Dense on GPU Coalescence,789.1790911529599,790.7193151877697,763.1824110303708,794.2602288152026,32.15033751123853,0.0,0.0,0.0,0.0,0.0
13,avg,5.430614399999999,5.3778880000000004,5.285568,6.565024,0.048311708576662074,1280,blockrandom,0.3,Dense on GPU Coalescence,773.374447377339,779.9167083852876,638.8863163333447,793.5389346991657,694.6908401517628,0.0,0.0,0.0,0.0,0.0
14,avg,167.30755616666667,167.1645125,164.674561,170.209442,2.5543372649028275,4096,blockrandom,0.7,Dense on GPU Coalescence,821.5473168659512,822.178067230549,807.469620116609,834.6095027513084,61.55134577509289,0.0,0.0,0.0,0.0,0.0
15,avg,168.6435735666667,166.928589,163.954681,197.337311,45.750106929008766,4096,blockrandom,0.8,Dense on GPU Coalescence,816.092203705043,823.3407731965834,696.4671443810238,838.2740439841422,844.1077783531132,0.0,0.0,0.0,0.0,0.0
16,avg,168.0740610333333,166.9801175,164.616196,198.521179,35.28904034549201,4096,blockrandom,0.4,Dense on GPU Coalescence,818.5800997307272,823.0857412179907,692.3138083519038,834.9054152120002,622.485642256458,0.0,0.0,0.0,0.0,0.0
17,avg,168.62566273333337,166.84605399999998,164.595932,217.024445,85.44850188948669,4096,blockrandom,0.9,Dense on GPU Coalescence,816.9243616877443,823.7471915954436,633.2878928546505,835.0082034348212,1248.649682441769,0.0,0.0,0.0,0.0,0.0
18,avg,167.2626978333333,166.773857,164.827301,177.336639,5.507721220311995,4096,blockrandom,0.6,Dense on GPU Coalescence,821.8459895076201,824.103715302723,775.0172454322877,833.836097771206,123.71112995818129,0.0,0.0,0.0,0.0,0.0
19,avg,166.88650363333332,166.798386,164.518906,169.737213,1.8210402288330756,4096,blockrandom,0.5,Dense on GPU Coalescence,823.5993867700278,823.9825143856021,809.7160960926111,835.3991453845432,44.16284076030613,0.0,0.0,0.0,0.0,0.0
20,avg,167.02828826666664,166.7921905,165.164062,169.486374,1.414430465321376,4096,blockrandom,0.3,Dense on GPU Coalescence,822.8886018570603,824.0131211488897,810.9144719327112,832.1359489935528,34.1798600225594,0.0,0.0,0.0,0.0,0.0
