,run,time,size,pattern,sparsity,algorithm,gflops,rel_error
60,17,38.853825,4096,blockrandom,0.7,cuBLAS GeMM,3537.333929722492,0.058555
61,17,10.83392,4096,blockrandom,0.7,cuBLAS GeMM with Tensors,12685.985633270322,0.058555
62,17,43.292671,4096,blockrandom,0.7,cuSPARSE CSR,3174.6471238053205,0.001753
63,10,5.314656,1280,blockrandom,0.5,Dense on GPU Coalescence,789.1957635640011,inf
64,10,0.684928,1280,blockrandom,0.5,Dense WMMA,6123.71519342179,0.00921
65,10,3.538944,1280,blockrandom,0.5,SpMM 1 Co,1185.1851851851852,0.0
66,10,0.273408,1280,blockrandom,0.5,SpMM with Tensors,15340.823970037452,0.00921
67,10,33.681152,1280,blockrandom,0.5,cuBLAS GeMM,124.5297072974226,0.004345
68,10,6.579168,1280,blockrandom,0.5,cuBLAS GeMM with Tensors,637.5128283697878,0.004345
69,10,7.127168,1280,blockrandom,0.5,cuSPARSE CSR,588.4951778883282,0.000396
70,2,5.279328,1280,blockrandom,0.8,Dense on GPU Coalescence,794.4768728141157,inf
71,2,0.680256,1280,blockrandom,0.8,Dense WMMA,6165.772885501929,0.003198
72,2,1.498112,1280,blockrandom,0.8,SpMM 1 Co,2799.7265892002733,0.0
73,2,0.151648,1280,blockrandom,0.8,SpMM with Tensors,27658.15572905676,0.003198
74,2,34.447327,1280,blockrandom,0.8,cuBLAS GeMM,121.75992639428888,0.001526
75,2,6.608896,1280,blockrandom,0.8,cuBLAS GeMM with Tensors,634.6451812829254,0.001526
76,2,6.0928,1280,blockrandom,0.8,cuSPARSE CSR,688.4033613445379,0.000239
77,22,434.613556,5376,blockrandom,0.9,Dense on GPU Coalescence,714.9974741054787,inf
78,22,249.577316,5376,blockrandom,0.9,Dense WMMA,1245.095506804793,0.031201
79,22,66.456573,5376,blockrandom,0.9,SpMM 1 Co,4675.949732647213,0.0
80,22,5.7344,5376,blockrandom,0.9,SpMM with Tensors,54190.08,0.031201
81,22,45.447807,5376,blockrandom,0.9,cuBLAS GeMM,6837.460710744525,0.031201
82,22,17.233919,5376,blockrandom,0.9,cuBLAS GeMM with Tensors,18031.162543586284,0.031201
83,22,34.16576,5376,blockrandom,0.9,cuSPARSE CSR,9095.292911733854,0.001465
84,26,164.827301,4096,blockrandom,0.6,Dense on GPU Coalescence,833.836097771206,inf
85,26,19.538143,4096,blockrandom,0.6,Dense WMMA,7034.391828947101,0.078248
86,26,104.612221,4096,blockrandom,0.6,SpMM 1 Co,1313.7944320291222,0.0
87,26,6.71648,4096,blockrandom,0.6,SpMM with Tensors,20462.943903949687,0.078248
88,26,41.778976,4096,blockrandom,0.6,cuBLAS GeMM,3289.667833697025,0.078248
89,26,10.759168,4096,blockrandom,0.6,cuBLAS GeMM with Tensors,12774.12467878557,0.078248
90,26,56.41872,4096,blockrandom,0.6,cuSPARSE CSR,2436.052315118103,0.00197
91,26,1617.855469,8192,blockrandom,0.4,Dense on GPU Coalescence,679.6105392873014,inf
92,26,850.445435,8192,blockrandom,0.4,Dense WMMA,1292.8655767033424,0.490479
93,26,1239.974854,8192,blockrandom,0.4,SpMM 1 Co,886.7209074676929,0.0
